棄却日,コード,銘柄名,ゲート,理由,棄却時終値,N営業日後リターン%,事後正誤タグ
2026-07-13,1812,鹿島建設,R床,値幅余地不足(余地+1.2%<2R=11.6%),5760.0,,
2026-07-13,186A,アストロスケールホールディングス,Feasibility,高ボラ×VI>30×SOX反発無し,1095.0,,
2026-07-13,2206,江崎グリコ,エンジンA,押し目日数10日(適合2〜5),5185.0,,
2026-07-13,2334,イオレ,Feasibility,高ボラ×VI>30×SOX反発無し,547.0,,
2026-07-13,2579,コカ・コーラ　ボトラーズジャパンホールディングス,R床,値幅余地不足(余地-1.0%<2R=11.2%),4104.0,,
2026-07-13,2670,エービーシー・マート,R床,値幅余地不足(余地+5.3%<2R=11.7%),2620.5,,
2026-07-13,2802,味の素,エンジンA,押し目日数7日(適合2〜5),5731.0,,
2026-07-13,2962,テクニスコ,エンジンA,押し目日数8日(適合2〜5),1280.0,,
2026-07-13,3103,ユニチカ,エンジンA,押し目日数9日(適合2〜5),934.0,,
2026-07-13,3104,富士紡ホールディングス,Feasibility,高ボラ×VI>30×SOX反発無し,3860.0,,
2026-07-13,3105,日清紡ホールディングス,エンジンA,押し目日数6日(適合2〜5),2224.0,,
2026-07-13,3186,ネクステージ,Feasibility,高ボラ×VI>30×SOX反発無し,3485.0,,
2026-07-13,3444,菊池製作所,Feasibility,高ボラ×VI>30×SOX反発無し,1014.0,,
2026-07-13,3449,テクノフレックス,エンジンA,押し目日数9日(適合2〜5),6340.0,,
2026-07-13,3569,セーレン,R床,値幅余地不足(余地+4.8%<2R=9.0%),3205.0,,
2026-07-13,3853,アステリア,Feasibility,高ボラ×VI>30×SOX反発無し,1112.0,,
2026-07-13,3891,ニッポン高度紙工業,エンジンA,押し目日数7日(適合2〜5),8010.0,,
2026-07-13,4047,関東電化工業,エンジンA,押し目日数10日(適合2〜5),3070.0,,
2026-07-13,4062,イビデン,エンジンA,押し目日数7日(適合2〜5),20300.0,,
2026-07-13,4179,ジーネクスト,エンジンA,押し目日数8日(適合2〜5),435.0,,
2026-07-13,4187,大阪有機化学工業,エンジンA,押し目日数7日(適合2〜5),5100.0,,
2026-07-13,4392,ＦＩＧ,Feasibility,高ボラ×VI>30×SOX反発無し,1090.0,,
2026-07-13,4461,第一工業製薬,エンジンA,押し目日数7日(適合2〜5),10810.0,,
2026-07-13,4506,住友ファーマ,Feasibility,高ボラ×VI>30×SOX反発無し,1400.0,,
2026-07-13,4971,メック,エンジンA,押し目日数8日(適合2〜5),9240.0,,
2026-07-13,5021,コスモエネルギーホールディングス,R床,値幅余地不足(余地-3.3%<2R=7.7%),3861.0,,
2026-07-13,5074,テスホールディングス,エンジンA,押し目日数10日(適合2〜5),791.0,,
2026-07-13,5208,有沢製作所,Feasibility,高ボラ×VI>30×SOX反発無し,2507.0,,
2026-07-13,5331,ノリタケ,エンジンA,押し目日数10日(適合2〜5),3640.0,,
2026-07-13,5344,ＭＡＲＵＷＡ,エンジンA,押し目日数7日(適合2〜5),61550.0,,
2026-07-13,5463,丸一鋼管,R床,値幅余地不足(余地-2.6%<2R=11.6%),1783.5,,
2026-07-13,5471,大同特殊鋼,エンジンA,押し目日数10日(適合2〜5),2509.5,,
2026-07-13,5711,三菱マテリアル,エンジンA,イベント痕跡×一段深い乖離なし(CFニュース疑い・非ファンダ性未確認),4087.0,,
2026-07-13,5802,住友電気工業,Feasibility,高ボラ×VI>30×SOX反発無し,2582.0,,
2026-07-13,6136,オーエスジー,R床,値幅余地不足(余地-3.9%<2R=12.4%),3777.0,,
2026-07-13,6166,中村超硬,Feasibility,高ボラ×VI>30×SOX反発無し,760.0,,
2026-07-13,6264,マルマエ,Feasibility,高ボラ×VI>30×SOX反発無し,2215.0,,
2026-07-13,6324,ハーモニック・ドライブ・システムズ,Feasibility,高ボラ×VI>30×SOX反発無し,7880.0,,
2026-07-13,6327,北川精機,エンジンA,押し目日数7日(適合2〜5),6130.0,,
2026-07-13,6376,日機装,エンジンA,押し目日数10日(適合2〜5),3700.0,,
2026-07-13,6492,岡野バルブ製造,Feasibility,高ボラ×VI>30×SOX反発無し,16900.0,,
2026-07-13,6627,テラプローブ,エンジンA,押し目日数7日(適合2〜5),12160.0,,
2026-07-13,6779,日本電波工業,エンジンA,押し目日数10日(適合2〜5),3345.0,,
2026-07-13,6787,メイコー,エンジンA,押し目日数9日(適合2〜5),26160.0,,
2026-07-13,6800,ヨコオ,エンジンA,押し目日数10日(適合2〜5),5030.0,,
2026-07-13,6834,精工技研,エンジンA,押し目日数10日(適合2〜5),23310.0,,
2026-07-13,6866,日置電機,Feasibility,高ボラ×VI>30×SOX反発無し,11490.0,,
2026-07-13,6890,フェローテック,Feasibility,高ボラ×VI>30×SOX反発無し,9090.0,,
2026-07-13,6914,オプテックスグループ,エンジンA,押し目日数7日(適合2〜5),3770.0,,
2026-07-13,6941,山一電機,Feasibility,高ボラ×VI>30×SOX反発無し,9230.0,,
2026-07-13,6954,ファナック,Feasibility,高ボラ×VI>30×SOX反発無し,7156.0,,
2026-07-13,6958,日本シイエムケイ,Feasibility,高ボラ×VI>30×SOX反発無し,657.0,,
2026-07-13,6962,大真空,Feasibility,高ボラ×VI>30×SOX反発無し,837.0,,
2026-07-13,6966,三井ハイテック,Feasibility,高ボラ×VI>30×SOX反発無し,977.0,,
2026-07-13,6976,太陽誘電,エンジンA,押し目日数7日(適合2〜5),14730.0,,
2026-07-13,6981,村田製作所,エンジンA,押し目日数7日(適合2〜5),9860.0,,
2026-07-13,6996,ニチコン,エンジンA,押し目日数7日(適合2〜5),3510.0,,
2026-07-13,6997,日本ケミコン,エンジンA,押し目日数7日(適合2〜5),3965.0,,
2026-07-13,6999,ＫＯＡ,エンジンA,押し目日数7日(適合2〜5),2617.0,,
2026-07-13,7245,大同メタル工業,エンジンA,押し目日数6日(適合2〜5),1395.0,,
2026-07-13,7649,スギホールディングス,エンジンA,イベント痕跡×一段深い乖離なし(CFニュース疑い・非ファンダ性未確認),2922.0,,
2026-07-13,7966,リンテック,Feasibility,高ボラ×VI>30×SOX反発無し,6560.0,,
2026-07-13,8012,長瀬産業,R床,値幅余地不足(余地+2.2%<2R=9.1%),1149.5,,
2026-07-13,9412,スカパーＪＳＡＴホールディングス,Feasibility,高ボラ×VI>30×SOX反発無し,2530.0,,
